
// OUTPUT - 5
&&NEWSITEMSTEXT, 0
732, "Tear Down this Wall", "Tear Down this Wall", "In a speech at the Brandenburg Gate, US President Ronald Reagan challenges Soviet Leader Gorbachev to tear down the Berlin Wall as a symbol of Gorbachev's desire for increasing freedoms in the Eastern Bloc.", "", "", "Acknowledge", "", "", ""
733, "Salt II Treaty", "Salt II Treaty", "Although never officially ratified, both the USSR and the United States abided by the terms of this agreement which dramatically reduced the production of new strategic weapons.", "", "", "Acknowledge", "", "", ""
734, "INF Treaty Signed", "INF Treaty Signed", "At the conclusion of the Washington Summit, Reagan and Gorbachev sign Intermediate Range Nuclear Forces Treaty which eliminated an entire class of nuclear weapons and paved the way for future Strategic Arms Reduction Treaties.", "", "", "Acknowledge", "", "", ""
735, "Nuclear Club Alert", "%s Researches %s", "%s has successfully researched %s, bringing them another step closer to obtaining nuclear weapons.", "", "", "Acknowledge", "Condemn Research", "Support Research", ""
736, "Troops Causing Tensions", "Forces of %s Increasing %s Theater Tensions", "The military buildup by %s in %s Theater is increasing international tensions in that area.", "", "", "Acknowledge", "", "", ""
737, "Troops Causing Intimidation", "Intimidation created by %s in %s Theater", "The buildup of troops by %s in the %s Theater is intimidating that area and creating an influence growth.", "", "", "Acknowledge", "", "", ""
738, "Naval Invasion", "Naval Invasion by %s on %s at %s", "%s has performed a naval landing against %s at %s.", "", "", "Acknowledge", "Condemn Invasion", "Support Invasion", ""
739, "Recon Plane Spotted", "Recon Plane Spotted at %s", "We have detected a Reconnaisance Plane at %s", "", "", "Acknowledge", "", "", ""
74, "Increase Reserve Personnel", "", "We already have Conscription implemented, but I would like to take additional steps to Increase our available Military Reservists.", "", "", "Agree.  Allow Minister decision ¶making authority", "Deny.  Leave recruitment as is", "Postpone decision", ""
740, "Submarine Detected", "Submarine Detected at %s", "We have detected a Submarine at %s", "", "", "Acknowledge", "", "", ""
741, "Units involved in Border Skirmish", "Border Skirmish with %s Reported at %s", "Our troops have reported exchanging fire over the border with %s at %s.  Tensions in the area continue to increase.", "", "", "Acknowledge", "", "", ""
742, "Foreign Troops Spotted", "Troops from %s Spotted in %s near %s", "We have spotted troops from %s moving in %s near %s.", "", "", "Acknowledge", "", "", ""
743, "Sphere Changes Domino", "Domino Effect on Sphere Changes", "The domino effect on Sphere Changes seems to be drastically increasing.  Provided nothing significant occurs soon, this trend will likely continue and perhaps escalate.", "", "", "Acknowledge", "", "", ""
744, "Heightened Impact on Spheres", "Spheres Showing Increased Volatility", "Actions by both Super Powers have caused influence changes to be even more volatile in response to Espionage, Diplomacy and Research.  Be extemely careful with your actions.", "", "", "Acknowledge", "", "", ""
745, "Support of War", "%s Supports War Declaration by %s against %s", "%s has come out in support of the war that %s declared on %s.", "", "", "Acknowledge", "", "", ""
746, "Condemnation of War", "%s Condemns War Declaration by %s against %s", "%s has openly condemned the war declaration by %s against %s.", "", "", "Acknowledge", "", "", ""
747, "City Status", "%s Officially Upgraded from %s to %s", "%s has grown in size and has now been upgraded from a %s to a %s.", "", "", "Acknowledge", "", "", ""
748, "City Status", "%s Officially Downgraded from %s to %s", "The population of %s has declined and it has now been downgraded from a %s to a %s.", "", "", "Acknowledge", "", "", ""
749, "Military Units Deployed", "Units Deployed at %s", "Our generals have deployed additional military units from %s.", "", "", "Acknowledge", "", "", ""
75, "Solicit Equipment Offers", "", "With our limited ability to construct new equipment, I recommend that we openly solicit more offers from Arms Dealers.", "", "", "Agree.  Solicit unit offers", "Deny.  Do not solicit offers", "Postpone decision", ""
750, "Minister Orders Construction", "New %s Under Construction", "A Cabinet Minister has ordered production begun on a new %s facility at %s.", "", "", "Acknowledge", "", "", ""
751, "New Research Project", "%s Now Being Researched", "Our Cabinet Minister has begun researching %s.", "", "", "Acknowledge", "", "", ""
752, "New Unit Design Begun", "Research Begun on %s Unit", "Our Cabinet Minister has ordered the %s Unit Design to be researched.", "", "", "Acknowledge", "", "", ""
753, "Facility To Be Scrapped", "%s Facility at %s Being Scrapped", "A Cabinet Minister has ordered that the %s facility at %s be scrapped.", "", "", "Acknowledge", "", "", ""
754, "Arms Race Lead", "%s Significantly Leads Arms Race", "International military analysts have reported that %s currently leads the unofficial arms race.", "", "", "Acknowledge", "", "", ""
755, "Space Race Report", "%s Currently Leads Space Race", "In the unofficial race to land a man on the moon, %s currently has the advantage.", "", "", "Acknowledge", "", "", ""
756, "New Entry into Space Race", "%s Joins Space Race", "With their latest research, %s is the latest nation to join the unofficial Space Race.", "", "", "Acknowledge", "", "", ""
757, "Government Upheaval", "Upheaval Changes %s to %s", "As a result of political upheaval in %s, the government has become %s.", "", "", "Acknowledge", "Condemn Change", "Support Change", ""
758, "Nuclear War Looms", "Nuclear War Looms", "International Tensions are at a critically high level (DEFCON 2).  The possibility of a full scale nuclear war exists if tensions can not be lowered.", "", "", "Acknowledge", "", "", ""
759, "Enemy Unit Sighting", "Units from %s Spotted in %s", "We have learned that units from %s have been deployed to %s with that country's support.", "", "", "Acknowledge", "Condemn Deployment", "Support Deployment", ""
76, "Intel: Attack Plans Uncovered", "Intelligence Report: %s to Attack %s on %s", "Our Intelligence assets have uncovered plans for a scheduled attack by %s against %s on %s.  Exact details of the plan are not known.", "", "", "Acknowledge", "", "", ""
760, "Foreign Troops Deployment", "Units from %s Spotted in %s", "We have learned that units from %s have been deployed to %s with that country's support.", "", "", "Acknowledge", "Condemn Deployment", "Support Deployment", ""
761, "Enemy Air Units", "Air Units from %s Spotted in %s", "We have learned that air units from %s have been stationed in %s with that country's support.", "", "", "Acknowledge", "Condemn Deployment", "Support Deployment", ""
762, "Lead in Space Race Widens", "%s Lead in Space Race Widens Over %s", "The lead in the Space Race by %s has widened significantly.  They will likely be the first ones to land a man on the moon unless %s makes incredible progress soon.", "", "", "Acknowledge", "", "", ""
763, "Significant Influence Lead", "%s Has Significant Influence Lead", "The %s Sphere now has a significant lead in the battle for influence over other nations.  This could create a tipping point and see other nations move in that direction.", "", "", "Acknowledge", "", "", ""
764, "Nuclear Weapons Deployment", "%s Deploys Nuclear Weapons to %s", "We have learned that nuclear weapons owned by %s have been deployed to %s.", "", "", "Acknowledge", "Condemn Deployment", "Support Deployment", ""
765, "Casus Belli Report", "High Casus Belli Towards %s", "Based on their actions, we do have legitimate cause to Declare War on %s and it should be generally accepted by the international community.", "", "", "Acknowledge", "", "", ""
766, "Casus Belli Report", "%s Justified to Declare War", "Be aware that %s has high justification (Casus Belli) to declare war on us and that action would likely be acceptable to the international community.", "", "", "Acknowledge", "", "", ""
767, "No Fabrication Available", "No %s Fabrication Available", "We posses designs for %s units but do not have any military production facilities.  We should build some facilities to manufacture these units.", "", "", "Agree", "Disagree", "", ""
768, "Deployment Recommendation", "Deployment Recommendation to Cuba", "In response to NATO's deployment of Nuclear Missiles, we should deploy Medium Range Missiles to Cuba.", "", "", "Agree", "Disagree", "", ""
769, "Nuclear Deployment Suspected", "Nuclear Deployment Suspected", "Intelligence sources suspect that the %s has deployed nuclear missiles to %s.  We should verify this and take appropriate action.  I recommend we order additional reconnaisance of the suspected area.", "", "", "Agree", "Disagree", "", ""
77, "Intel: Unit Design Acquired", "Intelligence Report: %s %s Design Acquired from %s", "Our Intelligence assets have successfully stolen the design for %s %s unit from %s.", "", "", "Acknowledge", "", "", ""
770, "Missile Deployment Confirmation", "Confirmed Missile Deployment by %s in %s", "We have confirmed that %s has deployed nuclear missiles to %s.  We should consider  immediate actions to counter this threat.", "", "", "Acknowledge", "Condemn Action", "Support Action", ""
771, "Nuclear Confrontation", "%s Nukes in %s Leads to Confrontation", "Nuclear Weapon deployments by %s in %s are increasing the risk of Military confrontation.", "", "", "Acknowledge", "", "", ""
772, "US Blockades Cuba", "US Blockades Cuba", "In response to our missile deployment, the United States have announced a naval blockade of Cuba.  They claim that that they will not allow any more military equipment to be deployed to Cuba.", "", "", "Acknowledge", "", "", ""
